[2026-02-18 18:39:18,874][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:19,039][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-18 18:39:19,085][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-base-ls960/dba3bb02fda4248b6e082697eee756de8fe8aa8a/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-18 18:39:19,119][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/resolve-cache/models/facebook/hubert-base-ls960/dba3bb02fda4248b6e082697eee756de8fe8aa8a/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-18 18:39:19,274][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:19,410][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-18 18:39:19,424][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-base-ls960/dba3bb02fda4248b6e082697eee756de8fe8aa8a/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-18 18:39:19,551][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-18 18:39:19,566][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-base-ls960/dba3bb02fda4248b6e082697eee756de8fe8aa8a/config.json "HTTP/1.1 200 OK"
[2026-02-18 18:39:19,580][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/resolve-cache/models/facebook/hubert-base-ls960/dba3bb02fda4248b6e082697eee756de8fe8aa8a/config.json "HTTP/1.1 200 OK"
[2026-02-18 18:39:19,725][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:19,858][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/model.safetensors.index.json "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:19,997][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/pytorch_model.bin "HTTP/1.1 302 Found"
[2026-02-18 18:39:20,134][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-base-ls960/xet-read-token/dba3bb02fda4248b6e082697eee756de8fe8aa8a "HTTP/1.1 200 OK"
[2026-02-18 18:39:22,944][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/model.safetensors "HTTP/1.1 404 Not Found"
[2026-02-18 18:39:23,079][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-base-ls960 "HTTP/1.1 200 OK"
[2026-02-18 18:39:23,233][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-base-ls960/commits/main "HTTP/1.1 200 OK"
[2026-02-18 18:39:23,381][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-base-ls960/discussions?p=0 "HTTP/1.1 200 OK"
[2026-02-18 18:39:23,480][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/librispeech_asr/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-02-18 18:39:23,525][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-base-ls960/commits/refs%2Fpr%2F2 "HTTP/1.1 200 OK"
[2026-02-18 18:39:23,642][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/openslr/librispeech_asr/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
