[2026-02-14 16:50:35,898][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/wav2vec2-base/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-02-14 16:50:36,012][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-14 16:50:36,012][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-02-14 16:50:36,125][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/chat_template.json "HTTP/1.1 404 Not Found"
[2026-02-14 16:50:36,233][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/chat_template.jinja "HTTP/1.1 404 Not Found"
[2026-02-14 16:50:36,344][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/audio_tokenizer_config.json "HTTP/1.1 404 Not Found"
[2026-02-14 16:50:36,458][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-14 16:50:36,569][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-14 16:50:36,600][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/wav2vec2-base/0b5b8e868dd84f03fd87d01f9c4ff0f080fecfe8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-14 16:50:36,711][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-14 16:50:36,739][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/wav2vec2-base/0b5b8e868dd84f03fd87d01f9c4ff0f080fecfe8/config.json "HTTP/1.1 200 OK"
[2026-02-14 16:50:36,852][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-14 16:50:36,959][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-14 16:50:36,990][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/wav2vec2-base/0b5b8e868dd84f03fd87d01f9c4ff0f080fecfe8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-14 16:50:37,109][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-14 16:50:37,136][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/wav2vec2-base/0b5b8e868dd84f03fd87d01f9c4ff0f080fecfe8/config.json "HTTP/1.1 200 OK"
[2026-02-14 16:50:37,248][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/wav2vec2-base/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
