[2026-02-15 16:16:20,971][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:21,099][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:21,115][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:16:21,251][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:21,379][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:21,392][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:16:21,522][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/tokenizer_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:21,523][huggingface_hub.utils._http][WARNING] - Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
[2026-02-15 16:16:21,534][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/tokenizer_config.json "HTTP/1.1 200 OK"
[2026-02-15 16:16:21,667][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 16:16:21,680][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-large-ls960-ft/ece5fabbf034c1073acae96d5401b25be96709d8/config.json "HTTP/1.1 200 OK"
[2026-02-15 16:16:21,831][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/models/facebook/hubert-large-ls960-ft/tree/main/additional_chat_templates?recursive=false&expand=false "HTTP/1.1 404 Not Found"
[2026-02-15 16:16:21,977][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-large-ls960-ft/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
