[2026-02-15 18:12:51,875][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 18:12:52,077][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 18:12:52,159][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-base-ls960/dba3bb02fda4248b6e082697eee756de8fe8aa8a/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 18:12:52,684][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/processor_config.json "HTTP/1.1 404 Not Found"
[2026-02-15 18:12:53,192][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/preprocessor_config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 18:12:54,511][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-base-ls960/dba3bb02fda4248b6e082697eee756de8fe8aa8a/preprocessor_config.json "HTTP/1.1 200 OK"
[2026-02-15 18:12:54,717][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/facebook/hubert-base-ls960/resolve/main/config.json "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 18:12:55,069][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/models/facebook/hubert-base-ls960/dba3bb02fda4248b6e082697eee756de8fe8aa8a/config.json "HTTP/1.1 200 OK"
[2026-02-15 18:12:56,723][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/confit/nsynth-parquet/resolve/main/README.md "HTTP/1.1 307 Temporary Redirect"
[2026-02-15 18:12:56,769][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/api/resolve-cache/datasets/confit/nsynth-parquet/af95599cce86feaf630f55b8d482cdcd816c9bd5/README.md "HTTP/1.1 200 OK"
[2026-02-15 18:12:56,930][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/confit/nsynth-parquet/resolve/af95599cce86feaf630f55b8d482cdcd816c9bd5/nsynth-parquet.py "HTTP/1.1 404 Not Found"
[2026-02-15 18:12:57,374][httpx][INFO] - HTTP Request: HEAD https://s3.amazonaws.com/datasets.huggingface.co/datasets/datasets/confit/nsynth-parquet/confit/nsynth-parquet.py "HTTP/1.1 404 Not Found"
[2026-02-15 18:12:57,627][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/confit/nsynth-parquet/revision/af95599cce86feaf630f55b8d482cdcd816c9bd5 "HTTP/1.1 200 OK"
[2026-02-15 18:12:57,804][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/confit/nsynth-parquet/resolve/af95599cce86feaf630f55b8d482cdcd816c9bd5/.huggingface.yaml "HTTP/1.1 404 Not Found"
[2026-02-15 18:12:58,025][httpx][INFO] - HTTP Request: GET https://datasets-server.huggingface.co/info?dataset=confit/nsynth-parquet "HTTP/1.1 200 OK"
[2026-02-15 18:12:58,214][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/confit/nsynth-parquet/tree/af95599cce86feaf630f55b8d482cdcd816c9bd5/instrument?recursive=true&expand=false "HTTP/1.1 200 OK"
[2026-02-15 18:12:58,450][httpx][INFO] - HTTP Request: GET https://huggingface.co/api/datasets/confit/nsynth-parquet/tree/af95599cce86feaf630f55b8d482cdcd816c9bd5?recursive=false&expand=false "HTTP/1.1 200 OK"
[2026-02-15 18:13:00,861][httpx][INFO] - HTTP Request: HEAD https://huggingface.co/datasets/confit/nsynth-parquet/resolve/af95599cce86feaf630f55b8d482cdcd816c9bd5/dataset_infos.json "HTTP/1.1 404 Not Found"
